Domain/Facet,Sample Group,Sample Size (n),Mean (M),Standard Deviation (SD),Cronbach's Alpha (α),Test-Retest (Adolescent)
Extraversion,U.S. internet,1000,3.23,0.80,0.88,0.80
Extraversion,U.S. college,470,3.28,0.71,0.87,0.80
Extraversion,CN college,1194,3.19,0.66,0.87,0.80
Extraversion,CN employee,486,3.24,0.60,0.85,0.80
Extraversion,CN substance use,765,3.34,0.57,0.72,0.80
Extraversion,CN adolescent T1,315,3.19,0.70,0.83,0.80
Extraversion,CN adolescent T2,315,3.20,0.70,0.83,0.80
Sociability,U.S. internet,1000,2.95,1.05,0.84,0.72
Sociability,U.S. college,470,3.02,0.96,0.84,0.72
Sociability,CN college,1194,3.14,0.89,0.85,0.72
Sociability,CN employee,486,3.12,0.80,0.81,0.72
Sociability,CN substance use,765,3.20,0.85,0.64,0.72
Sociability,CN adolescent T1,315,3.19,0.99,0.82,0.72
Sociability,CN adolescent T2,315,3.21,1.04,0.82,0.72
Assertiveness,U.S. internet,1000,3.28,0.93,0.77,0.72
Assertiveness,U.S. college,470,3.28,0.84,0.76,0.72
Assertiveness,CN college,1194,3.05,0.73,0.70,0.72
Assertiveness,CN employee,486,3.15,0.66,0.67,0.72
Assertiveness,CN substance use,765,3.29,0.68,0.44,0.72
Assertiveness,CN adolescent T1,315,2.93,0.76,0.56,0.72
Assertiveness,CN adolescent T2,315,2.96,0.75,0.56,0.72
Energy,U.S. internet,1000,3.47,0.89,0.74,0.65
Energy,U.S. college,470,3.53,0.75,0.70,0.65
Energy,CN college,1194,3.39,0.75,0.75,0.65
Energy,CN employee,486,3.44,0.72,0.73,0.65
Energy,CN substance use,765,3.56,0.68,0.47,0.65
Energy,CN adolescent T1,315,3.45,0.79,0.61,0.65
Energy,CN adolescent T2,315,3.44,0.77,0.61,0.65
Agreeableness,U.S. internet,1000,3.68,0.64,0.82,0.70
Agreeableness,U.S. college,470,3.72,0.60,0.83,0.70
Agreeableness,CN college,1194,3.69,0.47,0.79,0.70
Agreeableness,CN employee,486,3.81,0.49,0.81,0.70
Agreeableness,CN substance use,765,3.93,0.53,0.77,0.70
Agreeableness,CN adolescent T1,315,3.56,0.53,0.75,0.70
Agreeableness,CN adolescent T2,315,3.52,0.52,0.75,0.70
